Time,Vph(A),Vph(B),Vph(C),Vab,Vbc,Vca,Iph(A),Iph(B),Iph(C),Ptotal,Qtotal,P.F.total,Pph(A),Pph(B),Pph(C),Qph(A),Qph(B),Qph(C),P.F(A),P.F(B),P.F(C),Frequency,Sph(A),Sph(B),Sph(C),Stotal
0:33:23,14.62,144.30,272.00,203.80,189.00,80.70,120.50,278.00,107.10,1950.270,6564.350,174.70,82.60,193.60,9.70,42.50,142.90,206.30,152.30,40.20,148.40,37.70,184.50,286.90,299.80,6393.72
0:33:28,16.45,199.70,101.50,54.30,266.30,167.10,70.70,33.00,109.10,285.110,2406.880,293.90,241.00,208.80,203.20,189.10,57.70,119.20,56.60,124.50,46.50,54.00,71.00,286.90,299.80,6393.72
0:33:33,16.45,199.70,101.50,54.30,266.30,167.10,70.70,33.00,109.10,285.110,2406.880,293.90,241.00,208.80,203.20,189.10,57.70,119.20,56.60,124.50,46.50,54.00,71.00,16.80,288.80,5333.41
0:33:38,10.91,154.20,116.60,188.70,86.60,6.30,159.80,245.60,74.90,3346.570,5102.280,286.00,183.50,272.00,217.30,186.60,42.40,44.50,145.80,275.40,292.00,66.30,71.00,16.80,288.80,5333.41
0:33:43,10.91,154.20,116.60,188.70,86.60,6.30,159.80,245.60,74.90,3346.570,5102.280,286.00,183.50,272.00,217.30,186.60,42.40,44.50,145.80,275.40,292.00,66.30,154.20,162.40,31.00,6975.50
0:33:48,5.61,231.90,204.30,131.90,164.80,175.60,289.30,17.00,168.80,1168.230,5637.740,193.70,114.40,87.50,166.80,91.80,158.10,142.80,277.70,269.30,29.50,111.70,154.20,162.40,31.00,6975.50
0:33:53,5.61,231.90,204.30,131.90,164.80,175.60,289.30,17.00,168.80,1168.230,5637.740,193.70,114.40,87.50,166.80,91.80,158.10,142.80,277.70,269.30,29.50,111.70,92.90,131.80,69.20,7149.18
0:33:58,24.66,265.00,142.80,185.70,149.20,166.20,243.80,238.20,102.30,3003.850,2938.890,79.00,214.80,31.80,215.40,81.70,201.30,163.90,63.00,48.00,85.80,0.30,92.90,131.80,69.20,7149.18
0:34:3,24.66,265.00,142.80,185.70,149.20,166.20,243.80,238.20,102.30,3003.850,2938.890,79.00,214.80,31.80,215.40,81.70,201.30,163.90,63.00,48.00,85.80,0.30,206.70,194.70,231.80,5256.74
0:34:8,7.21,215.90,85.70,42.80,87.70,210.00,50.00,108.00,182.20,2631.180,4280.180,27.30,197.30,143.60,222.40,25.10,161.40,152.30,94.40,78.80,55.80,64.50,206.70,194.70,231.80,5256.74
0:34:13,7.21,215.90,85.70,42.80,87.70,210.00,50.00,108.00,182.20,2631.180,4280.180,27.30,197.30,143.60,222.40,25.10,161.40,152.30,94.40,78.80,55.80,64.50,136.40,15.80,197.10,3492.39
0:34:18,4.56,240.80,277.70,18.90,112.50,34.10,188.70,151.90,95.70,4197.480,4489.280,172.00,266.50,33.70,168.80,234.40,123.50,205.20,185.60,293.00,261.80,252.80,136.40,15.80,197.10,3492.39
0:34:23,4.56,240.80,277.70,18.90,112.50,34.10,188.70,151.90,95.70,4197.480,4489.280,172.00,266.50,33.70,168.80,234.40,123.50,205.20,185.60,293.00,261.80,252.80,29.10,213.60,228.60,6771.96
0:34:28,3.97,184.40,249.80,64.90,91.10,203.50,0.00,99.10,135.70,3737.630,5177.780,61.70,188.20,289.30,263.10,65.60,176.30,276.80,24.80,116.50,54.60,115.30,29.10,213.60,228.60,6771.96
0:34:33,3.97,184.40,249.80,64.90,91.10,203.50,0.00,99.10,135.70,3737.630,5177.780,61.70,188.20,289.30,263.10,65.60,176.30,276.80,24.80,116.50,54.60,115.30,192.40,215.30,44.40,7583.82
0:34:38,22.52,59.70,66.90,13.30,47.80,22.30,239.40,273.80,247.40,1668.180,1576.960,22.90,284.30,246.50,109.70,66.00,288.10,137.90,268.70,116.00,215.20,2.30,192.40,215.30,44.40,7583.82
0:34:43,22.52,59.70,66.90,13.30,47.80,22.30,239.40,273.80,247.40,1668.180,1576.960,22.90,284.30,246.50,109.70,66.00,288.10,137.90,268.70,116.00,215.20,2.30,83.20,32.00,51.60,4521.11
0:34:48,8.16,284.00,210.10,116.80,294.60,4.80,51.20,170.90,256.40,4557.900,6588.390,178.80,35.50,243.00,277.80,292.90,261.60,44.40,241.70,15.60,169.30,139.30,83.20,32.00,51.60,4521.11
0:34:53,8.16,284.00,210.10,116.80,294.60,4.80,51.20,170.90,256.40,4557.900,6588.390,178.80,35.50,243.00,277.80,292.90,261.60,44.40,241.70,15.60,169.30,139.30,48.00,24.00,168.10,2347.31
0:34:58,11.17,94.70,241.80,131.60,245.80,272.70,68.30,285.90,284.90,5423.180,7138.550,121.30,70.80,48.70,212.00,48.50,84.00,150.10,257.00,289.80,256.30,6.10,48.00,24.00,168.10,2347.31
0:35:3,11.17,94.70,241.80,131.60,245.80,272.70,68.30,285.90,284.90,5423.180,7138.550,121.30,70.80,48.70,212.00,48.50,84.00,150.10,257.00,289.80,256.30,6.10,227.20,177.50,0.60,5677.92
0:35:8,6.79,200.70,261.20,13.10,232.50,73.60,278.90,132.30,10.00,3994.240,231.230,295.50,5.50,44.30,277.60,242.30,85.60,16.00,137.20,179.80,271.00,6.10,227.20,177.50,0.60,5677.92
0:35:13,6.79,200.70,261.20,13.10,232.50,73.60,278.90,132.30,10.00,3994.240,231.230,295.50,5.50,44.30,277.60,242.30,85.60,16.00,137.20,179.80,271.00,298.80,152.60,156.20,19.80,1496.75
0:35:18,25.93,130.00,6.10,215.70,87.30,58.60,135.50,154.00,89.30,2750.790,2658.330,29.70,87.20,228.10,254.00,204.50,209.00,147.70,137.20,179.80,271.00,298.80,152.60,156.20,19.80,1496.75
0:35:23,25.93,130.00,6.10,215.70,87.30,58.60,135.50,154.00,89.30,2750.790,2658.330,29.70,87.20,228.10,254.00,204.50,209.00,147.70,201.50,34.30,120.90,17.50,14.80,270.00,246.20,7460.40
0:35:28,10.61,243.50,214.00,148.70,120.30,44.00,150.90,196.40,76.80,1438.320,7323.300,116.60,174.00,277.50,203.20,75.50,209.00,147.70,201.50,34.30,120.90,17.50,14.80,270.00,246.20,7460.40
0:35:33,10.61,243.50,214.00,148.70,120.30,44.00,150.90,196.40,76.80,1438.320,7323.300,116.60,174.00,277.50,203.20,75.50,259.70,181.60,238.90,54.60,181.80,289.30,259.30,148.80,216.00,7400.80
0:35:38,21.72,243.70,65.60,202.60,294.40,215.60,185.20,125.40,291.00,6977.820,6429.830,217.50,256.90,277.50,203.20,75.50,259.70,181.60,238.90,54.60,181.80,289.30,259.30,148.80,216.00,7400.80
0:35:43,21.72,243.70,65.60,202.60,294.40,215.60,185.20,125.40,291.00,6977.820,6429.830,217.50,256.90,48.10,107.10,79.90,41.80,73.00,200.50,159.10,144.80,67.80,119.40,219.80,168.30,6701.67
0:35:48,25.60,18.50,19.20,99.20,0.40,211.80,11.60,100.80,208.50,5849.210,1228.210,217.50,256.90,48.10,107.10,79.90,41.80,73.00,200.50,159.10,144.80,67.80,119.40,219.80,168.30,6701.67
0:35:53,25.60,18.50,19.20,99.20,0.40,211.80,11.60,100.80,208.50,5849.210,1228.210,154.10,193.80,110.60,144.10,78.30,137.70,68.40,115.60,146.30,104.70,215.60,31.00,59.40,139.70,5571.38
0:35:58,11.89,74.80,3.30,269.10,170.70,101.00,232.10,174.60,189.70,1801.800,1228.210,154.10,193.80,110.60,144.10,78.30,137.70,68.40,115.60,146.30,104.70,215.60,31.00,59.40,139.70,5571.38
0:36:3,11.89,74.80,3.30,269.10,170.70,101.00,232.10,174.60,189.70,1801.800,5279.990,251.60,286.10,225.40,156.90,153.40,42.10,234.80,240.00,50.80,41.80,31.80,100.80,8.40,60.30,474.19
0:36:8,5.37,114.70,139.10,200.90,40.40,260.60,143.70,241.50,27.50,1801.800,5279.990,251.60,286.10,225.40,156.90,153.40,42.10,234.80,240.00,50.80,41.80,31.80,100.80,8.40,60.30,474.19
0:36:13,5.37,114.70,139.10,200.90,40.40,260.60,143.70,241.50,27.50,1086.750,5144.690,83.20,73.20,164.10,171.10,203.90,131.20,281.50,161.00,44.50,26.30,76.60,99.50,223.00,135.80,3531.41
0:36:18,17.39,265.20,164.90,13.40,275.70,185.50,197.90,241.50,27.50,1086.750,5144.690,83.20,73.20,164.10,171.10,203.90,131.20,281.50,161.00,44.50,26.30,76.60,99.50,223.00,135.80,3531.41
0:36:23,17.39,265.20,164.90,13.40,275.70,185.50,197.90,219.30,181.80,1265.510,2684.230,292.60,39.80,157.50,9.30,57.10,100.40,129.00,7.70,105.60,297.10,267.40,85.60,109.30,273.50,1538.29
0:36:28,14.03,95.70,93.40,194.90,275.70,185.50,197.90,219.30,181.80,1265.510,2684.230,292.60,39.80,157.50,9.30,57.10,100.40,129.00,7.70,105.60,297.10,267.40,85.60,109.30,273.50,1538.29
0:36:33,14.03,95.70,93.40,194.90,182.30,269.50,10.60,68.90,176.70,1118.780,197.760,291.50,276.80,291.70,48.20,221.20,219.60,67.40,166.40,66.30,167.80,133.40,81.10,100.60,153.80,5816.30
0:36:38,16.16,51.80,93.40,194.90,182.30,269.50,10.60,68.90,176.70,1118.780,197.760,291.50,276.80,291.70,48.20,221.20,219.60,67.40,166.40,66.30,167.80,133.40,81.10,100.60,153.80,5816.30
0:36:43,16.16,51.80,79.70,117.50,183.80,126.90,39.30,122.60,117.50,6925.870,1561.920,113.60,191.80,151.50,193.50,210.40,184.40,269.90,62.20,190.00,256.80,208.10,0.80,14.90,23.40,1610.71
0:36:48,16.16,51.80,79.70,117.50,183.80,126.90,39.30,122.60,117.50,6925.870,1561.920,113.60,191.80,151.50,193.50,210.40,184.40,269.90,62.20,190.00,256.80,208.10,0.80,14.90,23.40,1610.71
0:36:53,22.32,100.50,289.50,71.40,279.20,195.20,122.90,75.10,289.40,4125.840,451.370,122.60,165.10,160.20,75.10,251.60,4.60,114.40,218.00,252.00,296.90,192.20,194.20,155.40,300.00,1610.71
0:36:58,22.32,100.50,289.50,71.40,279.20,195.20,122.90,75.10,289.40,4125.840,451.370,122.60,165.10,160.20,75.10,251.60,4.60,114.40,218.00,252.00,296.90,192.20,194.20,155.40,300.00,4442.49
0:37:3,21.86,244.50,148.20,283.00,39.80,35.40,5.50,49.50,42.00,2385.980,2027.790,268.00,143.60,272.20,287.50,29.10,107.40,238.70,196.00,201.40,298.80,66.10,23.00,155.40,300.00,4442.49
0:37:8,21.86,244.50,148.20,283.00,39.80,35.40,5.50,49.50,42.00,2385.980,2027.790,268.00,143.60,272.20,287.50,29.10,107.40,238.70,196.00,201.40,298.80,66.10,23.00,24.40,20.40,2708.23
0:37:13,21.98,171.70,292.00,118.20,152.10,233.60,155.70,108.10,159.40,2026.760,6166.910,120.30,59.40,176.00,279.50,158.30,118.00,12.10,89.50,253.80,224.40,98.50,23.00,24.40,20.40,2708.23
0:37:18,21.98,171.70,292.00,118.20,152.10,233.60,155.70,108.10,159.40,2026.760,6166.910,120.30,59.40,176.00,279.50,158.30,118.00,12.10,89.50,253.80,224.40,98.50,264.00,222.90,20.90,691.91
0:37:23,27.67,90.80,1.50,187.40,270.10,167.10,133.20,295.00,37.70,6642.130,4607.140,235.50,59.30,218.70,156.40,149.80,273.40,211.00,213.50,259.00,170.00,35.00,264.00,222.90,20.90,691.91
0:37:28,27.67,90.80,1.50,187.40,270.10,167.10,133.20,295.00,37.70,6642.130,4607.140,235.50,59.30,218.70,156.40,149.80,273.40,211.00,213.50,259.00,170.00,35.00,217.00,264.80,190.30,148.46
0:37:33,13.74,112.50,173.20,197.00,177.10,110.10,197.00,165.10,105.40,6141.720,2755.390,288.70,285.50,194.80,49.40,84.90,103.20,234.70,10.30,232.10,137.20,192.50,217.00,264.80,190.30,148.46
0:37:38,13.74,112.50,173.20,197.00,177.10,110.10,197.00,165.10,105.40,6141.720,2755.390,288.70,285.50,194.80,49.40,84.90,103.20,234.70,10.30,232.10,137.20,192.50,84.30,91.70,137.50,702.86
0:37:43,17.27,210.50,161.70,202.50,243.00,116.50,198.30,260.60,121.30,7098.710,4792.640,154.60,122.80,77.50,216.20,172.70,75.50,250.60,108.40,199.10,70.60,90.10,84.30,91.70,137.50,702.86
0:37:48,17.27,210.50,161.70,202.50,243.00,116.50,198.30,260.60,121.30,7098.710,4792.640,154.60,122.80,77.50,216.20,172.70,75.50,250.60,108.40,199.10,70.60,90.10,198.20,206.70,294.60,2793.48
0:37:53,3.17,25.90,65.40,25.80,279.10,164.50,101.30,135.70,142.70,7307.760,2162.370,18.80,167.50,289.60,115.50,45.70,126.00,0.30,56.50,257.90,183.80,177.20,198.20,206.70,294.60,2793.48
0:37:58,3.17,25.90,65.40,25.80,279.10,164.50,101.30,135.70,142.70,7307.760,2162.370,18.80,167.50,289.60,115.50,45.70,126.00,0.30,56.50,257.90,183.80,177.20,74.60,214.60,30.50,4031.30
0:38:3,28.73,105.70,19.10,168.90,155.10,61.00,162.60,283.10,47.90,1727.590,4726.940,223.20,234.70,265.60,54.90,145.30,167.90,40.80,228.50,296.70,162.40,244.90,74.60,214.60,30.50,4031.30
0:38:8,28.73,105.70,19.10,168.90,155.10,61.00,162.60,283.10,47.90,1727.590,4726.940,223.20,234.70,265.60,54.90,145.30,167.90,40.80,228.50,296.70,162.40,244.90,37.80,181.30,99.40,6654.15
0:38:13,7.47,151.80,62.20,112.00,18.90,270.90,98.30,154.10,49.00,1499.130,3742.610,193.40,47.80,148.90,241.60,224.00,73.40,47.20,168.90,221.10,56.50,238.30,37.80,181.30,99.40,6654.15
0:38:18,7.47,151.80,62.20,112.00,18.90,270.90,98.30,154.10,49.00,1499.130,3742.610,193.40,47.80,148.90,241.60,224.00,73.40,47.20,168.90,221.10,56.50,238.30,295.40,101.30,221.00,250.29
0:38:23,6.55,31.20,204.40,288.60,96.70,171.30,133.10,123.30,28.40,6286.130,3770.280,7.10,75.40,281.80,95.10,248.10,149.10,74.10,12.80,44.00,259.60,273.40,295.40,101.30,221.00,250.29
0:38:28,6.55,31.20,204.40,288.60,96.70,171.30,133.10,123.30,28.40,6286.130,3770.280,7.10,75.40,281.80,95.10,248.10,149.10,74.10,12.80,44.00,259.60,273.40,75.40,3.20,76.70,5399.98
0:38:33,7.51,36.10,165.00,91.70,283.60,195.80,249.10,231.90,175.20,4614.530,1933.380,150.00,180.60,226.00,10.00,233.50,205.80,297.70,29.80,266.40,111.90,142.10,75.40,3.20,76.70,5399.98
0:38:38,7.51,36.10,165.00,91.70,283.60,195.80,249.10,231.90,175.20,4614.530,1933.380,150.00,180.60,226.00,10.00,233.50,205.80,297.70,29.80,266.40,111.90,142.10,163.10,34.50,56.70,4404.41
0:38:43,23.02,247.50,187.70,295.70,191.90,13.40,137.30,243.80,139.40,5642.740,1492.430,167.80,243.40,205.00,197.20,139.80,279.60,168.30,34.30,287.10,111.90,142.10,163.10,34.50,56.70,4404.41
0:38:48,23.02,247.50,187.70,295.70,191.90,13.40,137.30,243.80,139.40,5642.740,1492.430,167.80,243.40,205.00,197.20,139.80,279.60,168.30,34.30,287.10,22.40,224.40,260.80,165.70,24.50,5411.19
0:38:53,15.08,79.10,236.80,3.30,182.20,123.30,42.90,147.50,228.90,5484.020,4351.050,144.60,73.10,13.90,11.10,292.60,239.30,239.70,34.30,287.10,22.40,224.40,260.80,165.70,24.50,5411.19
0:38:58,15.08,79.10,236.80,3.30,182.20,123.30,42.90,147.50,228.90,5484.020,4351.050,144.60,73.10,13.90,11.10,292.60,239.30,239.70,278.00,266.30,131.40,149.60,132.60,2.60,172.60,2865.23
0:39:3,6.59,203.30,26.10,257.80,199.20,178.70,294.80,86.60,24.50,2532.040,7112.220,288.00,19.60,55.20,8.40,44.20,239.30,239.70,278.00,266.30,131.40,149.60,132.60,2.60,172.60,2865.23
0:39:8,6.59,203.30,26.10,257.80,199.20,178.70,294.80,86.60,24.50,2532.040,7112.220,288.00,19.60,55.20,8.40,44.20,36.70,133.70,160.70,198.50,272.30,54.90,165.70,87.70,91.30,5962.65
0:39:13,7.00,92.60,268.70,293.90,217.00,107.10,266.20,292.90,39.80,504.170,1969.880,291.90,48.00,55.20,8.40,44.20,36.70,133.70,160.70,198.50,272.30,54.90,165.70,87.70,91.30,5962.65
0:39:18,7.00,92.60,268.70,293.90,217.00,107.10,266.20,292.90,39.80,504.170,1969.880,291.90,48.00,48.30,229.50,41.60,39.70,98.60,151.30,82.00,191.10,221.00,244.70,107.40,142.50,284.49
0:39:23,27.68,120.20,145.40,164.40,120.50,34.40,250.60,145.30,71.30,549.590,5234.090,291.90,48.00,48.30,229.50,41.60,39.70,98.60,151.30,82.00,191.10,221.00,244.70,107.40,142.50,284.49
0:39:28,27.68,120.20,145.40,164.40,120.50,34.40,250.60,145.30,71.30,549.590,5234.090,212.40,214.10,263.90,90.70,210.40,62.40,265.40,4.10,299.30,83.20,23.70,154.20,109.10,2.80,2401.99
0:39:33,17.92,34.50,81.30,269.20,227.20,255.10,166.00,25.00,140.00,5490.390,5234.090,212.40,214.10,263.90,90.70,210.40,62.40,265.40,4.10,299.30,83.20,23.70,154.20,109.10,2.80,2401.99
0:39:38,17.92,34.50,81.30,269.20,227.20,255.10,166.00,25.00,140.00,5509.990,5858.980,114.00,266.20,260.50,186.70,149.50,146.80,221.30,229.00,248.20,51.90,69.00,232.60,221.60,180.60,6990.53
0:39:43,10.03,91.50,70.80,67.70,270.40,155.30,75.20,296.40,199.10,5509.990,5858.980,114.00,266.20,260.50,186.70,149.50,146.80,221.30,229.00,248.20,51.90,69.00,232.60,221.60,180.60,6990.53
0:39:48,10.03,91.50,70.80,67.70,270.40,155.30,75.20,296.40,199.10,2922.540,6875.320,65.00,127.80,20.70,251.20,197.30,78.80,291.70,266.60,222.80,199.30,276.10,202.90,46.10,106.70,2048.00
0:39:53,22.69,41.40,107.40,6.10,37.80,75.60,113.40,296.40,199.10,2922.540,6875.320,65.00,127.80,20.70,251.20,197.30,78.80,291.70,266.60,222.80,199.30,276.10,202.90,46.10,106.70,2048.00
0:39:58,22.69,41.40,107.40,6.10,37.80,75.60,113.40,250.70,120.50,3415.550,7174.000,156.40,225.50,281.70,66.60,144.00,118.50,208.60,51.40,253.60,294.00,114.10,175.40,226.30,290.40,1756.81
0:40:3,19.73,204.70,223.60,291.10,37.80,75.60,113.40,250.70,120.50,3415.550,7174.000,156.40,225.50,281.70,66.60,144.00,118.50,208.60,51.40,253.60,294.00,114.10,175.40,226.30,290.40,1756.81
0:40:8,19.73,204.70,223.60,291.10,38.50,106.90,14.50,280.80,102.30,1065.900,3401.850,5.30,154.90,80.90,98.00,71.20,149.50,141.50,58.60,22.00,128.60,274.30,64.10,258.60,99.40,4505.93
0:40:13,10.82,108.10,223.60,291.10,38.50,106.90,14.50,280.80,102.30,1065.900,3401.850,5.30,154.90,80.90,98.00,71.20,149.50,141.50,58.60,22.00,128.60,274.30,64.10,258.60,99.40,4505.93
0:40:18,10.82,108.10,300.00,77.30,186.50,222.20,91.70,100.90,32.00,950.460,3108.500,112.50,175.60,144.40,27.10,258.60,129.60,101.20,129.00,128.50,172.20,28.00,151.80,272.20,223.60,1362.62
0:40:23,10.82,108.10,300.00,77.30,186.50,222.20,91.70,100.90,32.00,950.460,3108.500,112.50,175.60,144.40,27.10,258.60,129.60,101.20,129.00,128.50,172.20,28.00,151.80,272.20,223.60,1362.62
0:40:28,20.24,279.50,167.90,59.20,201.70,288.70,52.80,58.20,156.90,3799.520,1494.190,74.30,170.00,7.10,113.00,192.30,181.20,204.60,125.00,251.80,103.00,272.00,146.90,166.40,11.50,1362.62
0:40:33,20.24,279.50,167.90,59.20,201.70,288.70,52.80,58.20,156.90,3799.520,1494.190,74.30,170.00,7.10,113.00,192.30,181.20,204.60,125.00,251.80,103.00,272.00,146.90,166.40,11.50,1241.44
0:40:38,15.81,169.00,108.10,183.50,217.10,61.40,176.10,101.60,132.00,3436.970,6982.940,141.70,131.10,38.50,63.60,175.50,126.60,192.00,78.00,104.00,124.30,108.60,132.40,166.40,11.50,1241.44
0:40:43,15.81,169.00,108.10,183.50,217.10,61.40,176.10,101.60,132.00,3436.970,6982.940,141.70,131.10,38.50,63.60,175.50,126.60,192.00,78.00,104.00,124.30,108.60,132.40,199.70,74.70,6021.74
0:40:48,7.53,235.10,222.70,204.90,163.60,148.40,37.90,142.10,112.70,5232.080,3944.750,137.00,266.20,243.70,153.70,291.90,262.00,274.30,54.40,100.80,122.30,25.10,132.40,199.70,74.70,6021.74
0:40:53,7.53,235.10,222.70,204.90,163.60,148.40,37.90,142.10,112.70,5232.080,3944.750,137.00,266.20,243.70,153.70,291.90,262.00,274.30,54.40,100.80,122.30,25.10,110.10,135.00,103.70,30.32
0:40:58,7.90,259.20,39.80,217.90,10.50,195.30,8.90,70.80,111.00,3126.740,4568.780,14.50,31.20,117.40,20.00,133.70,121.90,10.20,209.90,101.30,74.50,24.40,110.10,135.00,103.70,30.32
0:41:3,7.90,259.20,39.80,217.90,10.50,195.30,8.90,70.80,111.00,3126.740,4568.780,14.50,31.20,117.40,20.00,133.70,121.90,10.20,209.90,101.30,74.50,24.40,207.60,246.30,181.50,7280.76
0:41:8,1.53,51.60,161.60,202.10,128.60,156.30,38.60,83.10,79.50,6151.860,4551.460,274.50,187.90,295.50,218.40,165.10,195.80,265.40,169.10,295.00,205.30,7.70,207.60,246.30,181.50,7280.76
0:41:13,1.53,51.60,161.60,202.10,128.60,156.30,38.60,83.10,79.50,6151.860,4551.460,274.50,187.90,295.50,218.40,165.10,195.80,265.40,169.10,295.00,205.30,7.70,101.60,169.30,21.50,2168.89
0:41:18,19.58,204.30,54.50,280.20,73.20,42.00,61.40,12.00,241.70,4580.080,5723.200,166.00,193.50,83.50,242.40,129.40,46.30,104.90,221.90,262.30,137.90,290.80,101.60,169.30,21.50,2168.89
0:41:23,19.58,204.30,54.50,280.20,73.20,42.00,61.40,12.00,241.70,4580.080,5723.200,166.00,193.50,83.50,242.40,129.40,46.30,104.90,221.90,262.30,137.90,290.80,189.50,222.80,62.70,3850.63
0:41:28,12.47,297.70,62.20,71.50,128.90,217.30,221.30,77.30,49.30,5483.060,4520.420,118.40,107.90,143.40,153.40,278.50,192.80,66.20,199.30,120.70,83.60,109.80,189.50,222.80,62.70,3850.63
0:41:33,12.47,297.70,62.20,71.50,128.90,217.30,221.30,77.30,49.30,5483.060,4520.420,118.40,107.90,143.40,153.40,278.50,192.80,66.20,199.30,120.70,83.60,109.80,1.10,121.10,91.40,4623.71
0:41:38,6.10,87.70,25.20,171.90,281.30,22.50,151.30,5.40,272.20,3322.930,7125.710,201.00,203.20,138.20,138.60,214.70,180.50,34.80,239.00,44.60,90.00,134.80,1.10,121.10,91.40,4623.71
0:41:43,6.10,87.70,25.20,171.90,281.30,22.50,151.30,5.40,272.20,3322.930,7125.710,201.00,203.20,138.20,138.60,214.70,180.50,34.80,239.00,44.60,90.00,134.80,133.00,37.20,188.00,400.10
0:41:48,22.53,255.90,166.30,77.00,29.20,96.20,3.50,241.90,211.70,2682.040,3801.900,191.60,175.10,273.50,112.30,18.50,217.10,294.80,127.10,86.30,207.90,25.30,133.00,37.20,188.00,400.10
0:41:53,22.53,255.90,166.30,77.00,29.20,96.20,3.50,241.90,211.70,2682.040,3801.900,191.60,175.10,273.50,112.30,18.50,217.10,294.80,127.10,86.30,207.90,25.30,4.80,167.00,186.50,2548.20
0:41:58,8.41,166.10,155.90,238.80,159.60,267.70,164.20,214.70,55.30,6363.120,2317.510,35.30,202.60,155.40,57.60,173.40,30.10,15.50,108.80,287.00,235.70,273.30,4.80,167.00,186.50,2548.20
0:42:3,8.41,166.10,155.90,238.80,159.60,267.70,164.20,214.70,55.30,6363.120,2317.510,35.30,202.60,155.40,57.60,173.40,30.10,15.50,108.80,287.00,235.70,273.30,87.00,124.50,108.30,2377.51
